Year,Age_Group,Gender,Education_Level,Samples,Income
1999,25 to 34 years,Male,"Some College, No Degree",2752,36504
1999,35 to 44 years,Male,"Some College, No Degree",3134,46326
1999,45 to 54 years,Male,"Some College, No Degree",2659,49409
1999,55 to 64 years,Male,"Some College, No Degree",1061,49440
1999,65 years and over,Male,"Some College, No Degree",180,31497
1999,18 to 24 years,Female,"Some College, No Degree",1031,18049
1999,25 to 34 years,Female,"Some College, No Degree",2039,26809
1999,35 to 44 years,Female,"Some College, No Degree",2397,31237
1999,45 to 54 years,Female,"Some College, No Degree",2049,31252
1999,55 to 64 years,Female,"Some College, No Degree",920,31286
1999,65 years and over,Female,"Some College, No Degree",119,34570
2000,18 to 24 years,Male,Less than 9th Grade,290,17969
2000,25 to 34 years,Male,Less than 9th Grade,591,21793
2000,35 to 44 years,Male,Less than 9th Grade,622,25368
2000,45 to 54 years,Male,Less than 9th Grade,489,24925
2000,55 to 64 years,Male,Less than 9th Grade,345,27033
2000,65 years and over,Male,Less than 9th Grade,112,24769
2000,18 to 24 years,Female,Less than 9th Grade,NA,NA
2000,25 to 34 years,Female,Less than 9th Grade,181,17283
2000,35 to 44 years,Female,Less than 9th Grade,256,21673
2000,45 to 54 years,Female,Less than 9th Grade,279,20748
2000,55 to 64 years,Female,Less than 9th Grade,168,19900
2000,65 years and over,Female,Less than 9th Grade,NA,NA
2000,18 to 24 years,Male,High School Graduate (includes equivalency),1967,23253
2000,25 to 34 years,Male,High School Graduate (includes equivalency),4546,32510
2000,35 to 44 years,Male,High School Graduate (includes equivalency),5810,38647
2000,45 to 54 years,Male,High School Graduate (includes equivalency),4011,40553
2000,55 to 64 years,Male,High School Graduate (includes equivalency),2009,42842
2000,65 years and over,Male,High School Graduate (includes equivalency),358,31482
2000,18 to 24 years,Female,High School Graduate (includes equivalency),1329,17127
2000,25 to 34 years,Female,High School Graduate (includes equivalency),2505,23645
2000,35 to 44 years,Female,High School Graduate (includes equivalency),3793,26062
2000,45 to 54 years,Female,High School Graduate (includes equivalency),3559,26662
2000,55 to 64 years,Female,High School Graduate (includes equivalency),1700,24994
2000,65 years and over,Female,High School Graduate (includes equivalency),243,23917
2000,18 to 24 years,Male,Associate Degree,289,26568
2000,25 to 34 years,Male,Associate Degree,1229,40015
2000,35 to 44 years,Male,Associate Degree,1662,47893
2000,45 to 54 years,Male,Associate Degree,1411,48336
2000,55 to 64 years,Male,Associate Degree,444,55198
2000,65 years and over,Male,Associate Degree,NA,NA
2000,18 to 24 years,Female,Associate Degree,273,21139
2000,25 to 34 years,Female,Associate Degree,1151,29072
2000,35 to 44 years,Female,Associate Degree,1427,33704
2000,45 to 54 years,Female,Associate Degree,1218,36106
2000,55 to 64 years,Female,Associate Degree,391,34679
2000,65 years and over,Female,Associate Degree,NA,NA
2000,18 to 24 years,Male,Bachelor's Degree,362,37696
2000,25 to 34 years,Male,Bachelor's Degree,3374,56985
2000,35 to 44 years,Male,Bachelor's Degree,3673,71950
2000,45 to 54 years,Male,Bachelor's Degree,3225,75867
2000,55 to 64 years,Male,Bachelor's Degree,1126,81851
2000,65 years and over,Male,Bachelor's Degree,256,75811
2000,18 to 24 years,Female,Bachelor's Degree,591,28244
2000,25 to 34 years,Female,Bachelor's Degree,2796,40419
2000,35 to 44 years,Female,Bachelor's Degree,2337,48076
2000,45 to 54 years,Female,Bachelor's Degree,1994,47215
2000,55 to 64 years,Female,Bachelor's Degree,644,43391
2000,65 years and over,Female,Bachelor's Degree,97,35481
2000,18 to 24 years,Male,Master's Degree,NA,NA
2000,25 to 34 years,Male,Master's Degree,642,65193
2000,35 to 44 years,Male,Master's Degree,1182,86205
2000,45 to 54 years,Male,Master's Degree,1267,82989
2000,55 to 64 years,Male,Master's Degree,623,102119
2000,65 years and over,Male,Master's Degree,75,71567
2000,18 to 24 years,Female,Master's Degree,NA,NA
2000,25 to 34 years,Female,Master's Degree,625,48336
2000,35 to 44 years,Female,Master's Degree,757,61519
2000,45 to 54 years,Female,Master's Degree,1067,55524
2000,55 to 64 years,Female,Master's Degree,366,51544
2000,65 years and over,Female,Master's Degree,NA,NA
2000,18 to 24 years,Male,Professional Degree,NA,NA
2000,25 to 34 years,Male,Professional Degree,162,75108
2000,35 to 44 years,Male,Professional Degree,382,136526
2000,45 to 54 years,Male,Professional Degree,452,165446
2000,55 to 64 years,Male,Professional Degree,207,124499
2000,65 years and over,Male,Professional Degree,NA,NA
2000,18 to 24 years,Female,Professional Degree,NA,NA
2000,25 to 34 years,Female,Professional Degree,141,62820
2000,35 to 44 years,Female,Professional Degree,182,81396
2000,45 to 54 years,Female,Professional Degree,109,89125
2000,55 to 64 years,Female,Professional Degree,NA,NA
2000,65 years and over,Female,Professional Degree,NA,NA
2000,18 to 24 years,Male,Doctorate Degree,NA,NA
2000,25 to 34 years,Male,Doctorate Degree,140,62164
2000,35 to 44 years,Male,Doctorate Degree,315,104055
2000,45 to 54 years,Male,Doctorate Degree,335,103960
2000,55 to 64 years,Male,Doctorate Degree,238,82458
2000,65 years and over,Male,Doctorate Degree,NA,NA
2000,18 to 24 years,Female,Doctorate Degree,NA,NA
2000,25 to 34 years,Female,Doctorate Degree,NA,NA
2000,35 to 44 years,Female,Doctorate Degree,118,69698
2000,45 to 54 years,Female,Doctorate Degree,117,75711
2000,55 to 64 years,Female,Doctorate Degree,NA,NA
2000,65 years and over,Female,Doctorate Degree,NA,NA
2000,18 to 24 years,Male,9th to 12th Grade (no diploma),710,17959
2000,25 to 34 years,Male,9th to 12th Grade (no diploma),1054,24858
2000,35 to 44 years,Male,9th to 12th Grade (no diploma),1138,28493
2000,45 to 54 years,Male,9th to 12th Grade (no diploma),710,38549
2000,55 to 64 years,Male,9th to 12th Grade (no diploma),474,30852
2000,65 years and over,Male,9th to 12th Grade (no diploma),100,30653
2000,18 to 24 years,Female,9th to 12th Grade (no diploma),297,14018
2000,25 to 34 years,Female,9th to 12th Grade (no diploma),470,20646
2000,35 to 44 years,Female,9th to 12th Grade (no diploma),647,18877
2000,45 to 54 years,Female,9th to 12th Grade (no diploma),460,20080
2000,55 to 64 years,Female,9th to 12th Grade (no diploma),312,18815
2000,65 years and over,Female,9th to 12th Grade (no diploma),75,19414
2000,18 to 24 years,Male,"Some College, No Degree",1087,23204
2000,25 to 34 years,Male,"Some College, No Degree",2795,38309
2000,35 to 44 years,Male,"Some College, No Degree",3022,48205
2000,45 to 54 years,Male,"Some College, No Degree",2705,54302
2000,55 to 64 years,Male,"Some College, No Degree",1102,45987
2000,65 years and over,Male,"Some College, No Degree",213,40147
2000,18 to 24 years,Female,"Some College, No Degree",1023,19697
2000,25 to 34 years,Female,"Some College, No Degree",2064,26705
2000,35 to 44 years,Female,"Some College, No Degree",2380,32127
2000,45 to 54 years,Female,"Some College, No Degree",2126,32841
2000,55 to 64 years,Female,"Some College, No Degree",858,30169
2000,65 years and over,Female,"Some College, No Degree",106,28494
2001,18 to 24 years,Male,Less than 9th Grade,244,16656
2001,25 to 34 years,Male,Less than 9th Grade,694,24330
2001,35 to 44 years,Male,Less than 9th Grade,558,24802
2001,45 to 54 years,Male,Less than 9th Grade,473,27434
2001,55 to 64 years,Male,Less than 9th Grade,339,24330
2001,65 years and over,Male,Less than 9th Grade,143,24281
2001,18 to 24 years,Female,Less than 9th Grade,NA,NA
2001,25 to 34 years,Female,Less than 9th Grade,167,16862
2001,35 to 44 years,Female,Less than 9th Grade,272,18699
2001,45 to 54 years,Female,Less than 9th Grade,278,18548
2001,55 to 64 years,Female,Less than 9th Grade,167,18287
2001,65 years and over,Female,Less than 9th Grade,NA,NA
2001,18 to 24 years,Male,High School Graduate (includes equivalency),1936,23416
2001,25 to 34 years,Male,High School Graduate (includes equivalency),4106,32130
2001,35 to 44 years,Male,High School Graduate (includes equivalency),5464,39535
2001,45 to 54 years,Male,High School Graduate (includes equivalency),4338,42064
2001,55 to 64 years,Male,High School Graduate (includes equivalency),2000,41961
2001,65 years and over,Male,High School Graduate (includes equivalency),406,54640
2001,18 to 24 years,Female,High School Graduate (includes equivalency),1336,19092
2001,25 to 34 years,Female,High School Graduate (includes equivalency),2351,25353
2001,35 to 44 years,Female,High School Graduate (includes equivalency),3719,27248
2001,45 to 54 years,Female,High School Graduate (includes equivalency),3518,29238
2001,55 to 64 years,Female,High School Graduate (includes equivalency),1807,27806
2001,65 years and over,Female,High School Graduate (includes equivalency),291,26178
2001,18 to 24 years,Male,Associate Degree,250,28673
2001,25 to 34 years,Male,Associate Degree,1227,40823
2001,35 to 44 years,Male,Associate Degree,1613,49061
2001,45 to 54 years,Male,Associate Degree,1304,50956
2001,55 to 64 years,Male,Associate Degree,504,56882
2001,65 years and over,Male,Associate Degree,NA,NA
2001,18 to 24 years,Female,Associate Degree,230,24376
2001,25 to 34 years,Female,Associate Degree,970,30206
2001,35 to 44 years,Female,Associate Degree,1409,34872
2001,45 to 54 years,Female,Associate Degree,1288,36399
2001,55 to 64 years,Female,Associate Degree,470,37669
2001,65 years and over,Female,Associate Degree,NA,NA
2001,18 to 24 years,Male,Bachelor's Degree,407,39024
2001,25 to 34 years,Male,Bachelor's Degree,3335,54729
2001,35 to 44 years,Male,Bachelor's Degree,3546,78396
2001,45 to 54 years,Male,Bachelor's Degree,3021,78913
2001,55 to 64 years,Male,Bachelor's Degree,1334,77652
2001,65 years and over,Male,Bachelor's Degree,243,68492
2001,18 to 24 years,Female,Bachelor's Degree,475,36801
2001,25 to 34 years,Female,Bachelor's Degree,2850,42320
2001,35 to 44 years,Female,Bachelor's Degree,2475,48250
2001,45 to 54 years,Female,Bachelor's Degree,2107,48263
2001,55 to 64 years,Female,Bachelor's Degree,731,45047
2001,65 years and over,Female,Bachelor's Degree,90,35104
2001,18 to 24 years,Male,Master's Degree,NA,NA
2001,25 to 34 years,Male,Master's Degree,698,65138
2001,35 to 44 years,Male,Master's Degree,1165,94916
2001,45 to 54 years,Male,Master's Degree,1313,88024
2001,55 to 64 years,Male,Master's Degree,683,98781
2001,65 years and over,Male,Master's Degree,103,58225
2001,18 to 24 years,Female,Master's Degree,NA,NA
2001,25 to 34 years,Female,Master's Degree,677,48925
2001,35 to 44 years,Female,Master's Degree,777,61532
2001,45 to 54 years,Female,Master's Degree,1147,59891
2001,55 to 64 years,Female,Master's Degree,450,61411
2001,65 years and over,Female,Master's Degree,NA,NA
2001,18 to 24 years,Male,Professional Degree,NA,NA
2001,25 to 34 years,Male,Professional Degree,178,76678
2001,35 to 44 years,Male,Professional Degree,380,138207
2001,45 to 54 years,Male,Professional Degree,458,142655
2001,55 to 64 years,Male,Professional Degree,227,143380
2001,65 years and over,Male,Professional Degree,NA,NA
2001,18 to 24 years,Female,Professional Degree,NA,NA
2001,25 to 34 years,Female,Professional Degree,159,61807
2001,35 to 44 years,Female,Professional Degree,171,79704
2001,45 to 54 years,Female,Professional Degree,124,79050
2001,55 to 64 years,Female,Professional Degree,NA,NA
2001,65 years and over,Female,Professional Degree,NA,NA
2001,18 to 24 years,Male,Doctorate Degree,NA,NA
2001,25 to 34 years,Male,Doctorate Degree,100,55319
2001,35 to 44 years,Male,Doctorate Degree,274,112096
2001,45 to 54 years,Male,Doctorate Degree,358,119732
2001,55 to 64 years,Male,Doctorate Degree,244,90100
2001,65 years and over,Male,Doctorate Degree,NA,NA
2001,18 to 24 years,Female,Doctorate Degree,NA,NA
2001,25 to 34 years,Female,Doctorate Degree,83,55338
2001,35 to 44 years,Female,Doctorate Degree,116,65484
2001,45 to 54 years,Female,Doctorate Degree,121,83122
2001,55 to 64 years,Female,Doctorate Degree,NA,NA
2001,65 years and over,Female,Doctorate Degree,NA,NA
2001,18 to 24 years,Male,9th to 12th Grade (no diploma),704,20109
2001,25 to 34 years,Male,9th to 12th Grade (no diploma),1100,25705
2001,35 to 44 years,Male,9th to 12th Grade (no diploma),1102,32348
2001,45 to 54 years,Male,9th to 12th Grade (no diploma),707,32240
2001,55 to 64 years,Male,9th to 12th Grade (no diploma),498,35951
2001,65 years and over,Male,9th to 12th Grade (no diploma),96,28807
2001,18 to 24 years,Female,9th to 12th Grade (no diploma),288,28807
2001,25 to 34 years,Female,9th to 12th Grade (no diploma),441,33131
2001,35 to 44 years,Female,9th to 12th Grade (no diploma),609,20421
2001,45 to 54 years,Female,9th to 12th Grade (no diploma),436,21586
2001,55 to 64 years,Female,9th to 12th Grade (no diploma),319,20160
2001,65 years and over,Female,9th to 12th Grade (no diploma),NA,NA
2001,18 to 24 years,Male,"Some College, No Degree",1056,23525
2001,25 to 34 years,Male,"Some College, No Degree",2593,38359
2001,35 to 44 years,Male,"Some College, No Degree",2890,48305
2001,45 to 54 years,Male,"Some College, No Degree",2644,51055
2001,55 to 64 years,Male,"Some College, No Degree",1149,51427
2001,65 years and over,Male,"Some College, No Degree",216,46734
2001,18 to 24 years,Female,"Some College, No Degree",977,21979
2001,25 to 34 years,Female,"Some College, No Degree",1942,28784
2001,35 to 44 years,Female,"Some College, No Degree",2242,32399
2001,45 to 54 years,Female,"Some College, No Degree",2031,34549
2001,55 to 64 years,Female,"Some College, No Degree",926,36077
2001,65 years and over,Female,"Some College, No Degree",141,58277
2002,18 to 24 years,Male,Less than 9th Grade,228,17322
2002,25 to 34 years,Male,Less than 9th Grade,638,21512
2002,35 to 44 years,Male,Less than 9th Grade,636,25114
2002,45 to 54 years,Male,Less than 9th Grade,462,24481
2002,55 to 64 years,Male,Less than 9th Grade,319,30611
2002,65 years and over,Male,Less than 9th Grade,99,27875
2002,18 to 24 years,Female,Less than 9th Grade,NA,NA
2002,25 to 34 years,Female,Less than 9th Grade,152,16137
2002,35 to 44 years,Female,Less than 9th Grade,248,16943
2002,45 to 54 years,Female,Less than 9th Grade,246,18621
2002,55 to 64 years,Female,Less than 9th Grade,153,19623
2002,65 years and over,Female,Less than 9th Grade,NA,NA
2002,18 to 24 years,Male,High School Graduate (includes equivalency),1922,23942
2002,25 to 34 years,Male,High School Graduate (includes equivalency),4261,34611
2002,35 to 44 years,Male,High School Graduate (includes equivalency),5191,40301
2002,45 to 54 years,Male,High School Graduate (includes equivalency),4157,41221
2002,55 to 64 years,Male,High School Graduate (includes equivalency),2009,42875
2002,65 years and over,Male,High School Graduate (includes equivalency),384,39555
2002,18 to 24 years,Female,High School Graduate (includes equivalency),1192,19279
2002,25 to 34 years,Female,High School Graduate (includes equivalency),2345,25034
2002,35 to 44 years,Female,High School Graduate (includes equivalency),3560,27528
2002,45 to 54 years,Female,High School Graduate (includes equivalency),3520,28881
2002,55 to 64 years,Female,High School Graduate (includes equivalency),1903,31114
2002,65 years and over,Female,High School Graduate (includes equivalency),346,26562
2002,18 to 24 years,Male,Associate Degree,293,28666
2002,25 to 34 years,Male,Associate Degree,1161,40726
2002,35 to 44 years,Male,Associate Degree,1458,52679
2002,45 to 54 years,Male,Associate Degree,1185,55148
2002,55 to 64 years,Male,Associate Degree,527,50033
2002,65 years and over,Male,Associate Degree,NA,NA
2002,18 to 24 years,Female,Associate Degree,260,23197
2002,25 to 34 years,Female,Associate Degree,1014,30327
2002,35 to 44 years,Female,Associate Degree,1406,34785
2002,45 to 54 years,Female,Associate Degree,1314,36454
2002,55 to 64 years,Female,Associate Degree,494,36034
2002,65 years and over,Female,Associate Degree,NA,NA
2002,18 to 24 years,Male,Bachelor's Degree,346,32902
2002,25 to 34 years,Male,Bachelor's Degree,3215,53354
2002,35 to 44 years,Male,Bachelor's Degree,3621,79420
2002,45 to 54 years,Male,Bachelor's Degree,3241,79611
2002,55 to 64 years,Male,Bachelor's Degree,1480,72283
2002,65 years and over,Male,Bachelor's Degree,272,59939
2002,18 to 24 years,Female,Bachelor's Degree,542,29080
2002,25 to 34 years,Female,Bachelor's Degree,2701,44030
2002,35 to 44 years,Female,Bachelor's Degree,2467,50271
2002,45 to 54 years,Female,Bachelor's Degree,2149,52516
2002,55 to 64 years,Female,Bachelor's Degree,814,53551
2002,65 years and over,Female,Bachelor's Degree,95,36806
2002,18 to 24 years,Male,Master's Degree,NA,NA
2002,25 to 34 years,Male,Master's Degree,717,62793
2002,35 to 44 years,Male,Master's Degree,1160,83370
2002,45 to 54 years,Male,Master's Degree,1305,86417
2002,55 to 64 years,Male,Master's Degree,771,84030
2002,65 years and over,Male,Master's Degree,113,68088
2002,18 to 24 years,Female,Master's Degree,NA,NA
2002,25 to 34 years,Female,Master's Degree,710,45732
2002,35 to 44 years,Female,Master's Degree,816,57592
2002,45 to 54 years,Female,Master's Degree,1166,61001
2002,55 to 64 years,Female,Master's Degree,533,58840
2002,65 years and over,Female,Master's Degree,NA,NA
2002,18 to 24 years,Male,Professional Degree,NA,NA
2002,25 to 34 years,Male,Professional Degree,199,102882
2002,35 to 44 years,Male,Professional Degree,370,155673
2002,45 to 54 years,Male,Professional Degree,434,163064
2002,55 to 64 years,Male,Professional Degree,235,175376
2002,65 years and over,Male,Professional Degree,NA,NA
2002,18 to 24 years,Female,Professional Degree,NA,NA
2002,25 to 34 years,Female,Professional Degree,159,63470
2002,35 to 44 years,Female,Professional Degree,186,77583
2002,45 to 54 years,Female,Professional Degree,142,60912
2002,55 to 64 years,Female,Professional Degree,NA,NA
2002,65 years and over,Female,Professional Degree,NA,NA
2002,18 to 24 years,Male,Doctorate Degree,NA,NA
2002,25 to 34 years,Male,Doctorate Degree,105,74011
2002,35 to 44 years,Male,Doctorate Degree,259,99314
2002,45 to 54 years,Male,Doctorate Degree,375,134149
2002,55 to 64 years,Male,Doctorate Degree,257,98001
2002,65 years and over,Male,Doctorate Degree,NA,NA
2002,18 to 24 years,Female,Doctorate Degree,NA,NA
2002,25 to 34 years,Female,Doctorate Degree,NA,NA
2002,35 to 44 years,Female,Doctorate Degree,122,77652
2002,45 to 54 years,Female,Doctorate Degree,131,84288
2002,55 to 64 years,Female,Doctorate Degree,NA,NA
2002,65 years and over,Female,Doctorate Degree,NA,NA
2002,18 to 24 years,Male,9th to 12th Grade (no diploma),642,21759
2002,25 to 34 years,Male,9th to 12th Grade (no diploma),1153,25862
2002,35 to 44 years,Male,9th to 12th Grade (no diploma),1154,34050
2002,45 to 54 years,Male,9th to 12th Grade (no diploma),772,29312
2002,55 to 64 years,Male,9th to 12th Grade (no diploma),480,37271
2002,65 years and over,Male,9th to 12th Grade (no diploma),117,36284
2002,18 to 24 years,Female,9th to 12th Grade (no diploma),299,14461
2002,25 to 34 years,Female,9th to 12th Grade (no diploma),452,19361
2002,35 to 44 years,Female,9th to 12th Grade (no diploma),580,20015
2002,45 to 54 years,Female,9th to 12th Grade (no diploma),445,21699
2002,55 to 64 years,Female,9th to 12th Grade (no diploma),304,23973
2002,65 years and over,Female,9th to 12th Grade (no diploma),NA,NA
2002,18 to 24 years,Male,"Some College, No Degree",1145,24454
2002,25 to 34 years,Male,"Some College, No Degree",2620,39148
2002,35 to 44 years,Male,"Some College, No Degree",2791,51105
2002,45 to 54 years,Male,"Some College, No Degree",2676,54437
2002,55 to 64 years,Male,"Some College, No Degree",1271,51880
2002,65 years and over,Male,"Some College, No Degree",245,50279
2002,18 to 24 years,Female,"Some College, No Degree",980,19934
2002,25 to 34 years,Female,"Some College, No Degree",1914,28019
2002,35 to 44 years,Female,"Some College, No Degree",2124,33437
2002,45 to 54 years,Female,"Some College, No Degree",2083,35539
2002,55 to 64 years,Female,"Some College, No Degree",1076,35609
2002,65 years and over,Female,"Some College, No Degree",156,34487
2003,18 to 24 years,Male,Less than 9th Grade,220,16805
2003,25 to 34 years,Male,Less than 9th Grade,665,20977
2003,35 to 44 years,Male,Less than 9th Grade,622,25733
2003,45 to 54 years,Male,Less than 9th Grade,479,26139
2003,55 to 64 years,Male,Less than 9th Grade,296,29067
2003,65 years and over,Male,Less than 9th Grade,147,23499
2003,18 to 24 years,Female,Less than 9th Grade,NA,NA
2003,25 to 34 years,Female,Less than 9th Grade,149,23142
2003,35 to 44 years,Female,Less than 9th Grade,237,17401
2003,45 to 54 years,Female,Less than 9th Grade,260,21853
2003,55 to 64 years,Female,Less than 9th Grade,155,20496
2003,65 years and over,Female,Less than 9th Grade,75,28687
2003,18 to 24 years,Male,High School Graduate (includes equivalency),1913,23119
2003,25 to 34 years,Male,High School Graduate (includes equivalency),4263,33509
2003,35 to 44 years,Male,High School Graduate (includes equivalency),5139,40885
2003,45 to 54 years,Male,High School Graduate (includes equivalency),4440,43638
2003,55 to 64 years,Male,High School Graduate (includes equivalency),2076,44619
2003,65 years and over,Male,High School Graduate (includes equivalency),364,38108
2003,18 to 24 years,Female,High School Graduate (includes equivalency),1160,18915
2003,25 to 34 years,Female,High School Graduate (includes equivalency),2344,26132
2003,35 to 44 years,Female,High School Graduate (includes equivalency),3409,28975
2003,45 to 54 years,Female,High School Graduate (includes equivalency),3590,29729
2003,55 to 64 years,Female,High School Graduate (includes equivalency),1868,30590
2003,65 years and over,Female,High School Graduate (includes equivalency),375,27955
2003,18 to 24 years,Male,Associate Degree,282,26554
2003,25 to 34 years,Male,Associate Degree,1228,42200
2003,35 to 44 years,Male,Associate Degree,1429,50832
2003,45 to 54 years,Male,Associate Degree,1385,53701
2003,55 to 64 years,Male,Associate Degree,586,55888
2003,65 years and over,Male,Associate Degree,NA,NA
2003,18 to 24 years,Female,Associate Degree,261,23070
2003,25 to 34 years,Female,Associate Degree,998,32145
2003,35 to 44 years,Female,Associate Degree,1356,38078
2003,45 to 54 years,Female,Associate Degree,1393,40785
2003,55 to 64 years,Female,Associate Degree,576,37467
2003,65 years and over,Female,Associate Degree,NA,NA
2003,18 to 24 years,Male,Bachelor's Degree,389,32598
2003,25 to 34 years,Male,Bachelor's Degree,3147,53271
2003,35 to 44 years,Male,Bachelor's Degree,3574,75812
2003,45 to 54 years,Male,Bachelor's Degree,3215,78430
2003,55 to 64 years,Male,Bachelor's Degree,1609,79764
2003,65 years and over,Male,Bachelor's Degree,300,78517
2003,18 to 24 years,Female,Bachelor's Degree,544,27571
2003,25 to 34 years,Female,Bachelor's Degree,2699,47364
2003,35 to 44 years,Female,Bachelor's Degree,2329,51027
2003,45 to 54 years,Female,Bachelor's Degree,2248,50770
2003,55 to 64 years,Female,Bachelor's Degree,975,47571
2003,65 years and over,Female,Bachelor's Degree,76,37234
2003,18 to 24 years,Male,Master's Degree,NA,NA
2003,25 to 34 years,Male,Master's Degree,733,69602
2003,35 to 44 years,Male,Master's Degree,1163,88353
2003,45 to 54 years,Male,Master's Degree,1312,87235
2003,55 to 64 years,Male,Master's Degree,808,93679
2003,65 years and over,Male,Master's Degree,109,87870
2003,18 to 24 years,Female,Master's Degree,NA,NA
2003,25 to 34 years,Female,Master's Degree,764,49695
2003,35 to 44 years,Female,Master's Degree,805,58090
2003,45 to 54 years,Female,Master's Degree,1119,62874
2003,55 to 64 years,Female,Master's Degree,622,58912
2003,65 years and over,Female,Master's Degree,NA,NA
2003,18 to 24 years,Male,Professional Degree,NA,NA
2003,25 to 34 years,Male,Professional Degree,209,89475
2003,35 to 44 years,Male,Professional Degree,363,151687
2003,45 to 54 years,Male,Professional Degree,413,168334
2003,55 to 64 years,Male,Professional Degree,269,171876
2003,65 years and over,Male,Professional Degree,93,114715
2003,18 to 24 years,Female,Professional Degree,NA,NA
2003,25 to 34 years,Female,Professional Degree,154,71931
2003,35 to 44 years,Female,Professional Degree,178,105852
2003,45 to 54 years,Female,Professional Degree,144,76768
2003,55 to 64 years,Female,Professional Degree,78,78241
2003,65 years and over,Female,Professional Degree,NA,NA
2003,18 to 24 years,Male,Doctorate Degree,NA,NA
2003,25 to 34 years,Male,Doctorate Degree,134,72164
2003,35 to 44 years,Male,Doctorate Degree,232,113805
2003,45 to 54 years,Male,Doctorate Degree,322,108211
2003,55 to 64 years,Male,Doctorate Degree,288,117770
2003,65 years and over,Male,Doctorate Degree,NA,NA
2003,18 to 24 years,Female,Doctorate Degree,NA,NA
2003,25 to 34 years,Female,Doctorate Degree,86,67583
2003,35 to 44 years,Female,Doctorate Degree,124,97756
2003,45 to 54 years,Female,Doctorate Degree,145,78401
2003,55 to 64 years,Female,Doctorate Degree,96,95666
2003,65 years and over,Female,Doctorate Degree,NA,NA
2003,18 to 24 years,Male,9th to 12th Grade (no diploma),620,20156
2003,25 to 34 years,Male,9th to 12th Grade (no diploma),1045,26797
2003,35 to 44 years,Male,9th to 12th Grade (no diploma),1083,30968
2003,45 to 54 years,Male,9th to 12th Grade (no diploma),684,33781
2003,55 to 64 years,Male,9th to 12th Grade (no diploma),441,34341
2003,65 years and over,Male,9th to 12th Grade (no diploma),113,32695
2003,18 to 24 years,Female,9th to 12th Grade (no diploma),248,16698
2003,25 to 34 years,Female,9th to 12th Grade (no diploma),411,19646
2003,35 to 44 years,Female,9th to 12th Grade (no diploma),562,23908
2003,45 to 54 years,Female,9th to 12th Grade (no diploma),449,22076
2003,55 to 64 years,Female,9th to 12th Grade (no diploma),247,22625
2003,65 years and over,Female,9th to 12th Grade (no diploma),NA,NA
2003,18 to 24 years,Male,"Some College, No Degree",1031,23872
2003,25 to 34 years,Male,"Some College, No Degree",2508,40417
2003,35 to 44 years,Male,"Some College, No Degree",2651,49498
2003,45 to 54 years,Male,"Some College, No Degree",2659,52314
2003,55 to 64 years,Male,"Some College, No Degree",1277,54630
2003,65 years and over,Male,"Some College, No Degree",241,59160
2003,18 to 24 years,Female,"Some College, No Degree",934,19727
2003,25 to 34 years,Female,"Some College, No Degree",1889,27927
2003,35 to 44 years,Female,"Some College, No Degree",2113,33814
2003,45 to 54 years,Female,"Some College, No Degree",2081,36008
2003,55 to 64 years,Female,"Some College, No Degree",1070,36032
2003,65 years and over,Female,"Some College, No Degree",188,31018
2004,18 to 24 years,Male,Less than 9th Grade,217,17601
2004,25 to 34 years,Male,Less than 9th Grade,668,21574
2004,35 to 44 years,Male,Less than 9th Grade,701,25883
2004,45 to 54 years,Male,Less than 9th Grade,571,24989
2004,55 to 64 years,Male,Less than 9th Grade,363,26536
2004,65 years and over,Male,Less than 9th Grade,125,48059
2004,18 to 24 years,Female,Less than 9th Grade,NA,NA
2004,25 to 34 years,Female,Less than 9th Grade,177,17301
2004,35 to 44 years,Female,Less than 9th Grade,279,18100
2004,45 to 54 years,Female,Less than 9th Grade,242,21045
2004,55 to 64 years,Female,Less than 9th Grade,155,19369
2004,65 years and over,Female,Less than 9th Grade,NA,NA
2004,18 to 24 years,Male,High School Graduate (includes equivalency),2014,25891
2004,25 to 34 years,Male,High School Graduate (includes equivalency),4321,33121
2004,35 to 44 years,Male,High School Graduate (includes equivalency),5278,42387
2004,45 to 54 years,Male,High School Graduate (includes equivalency),4845,44183
2004,55 to 64 years,Male,High School Graduate (includes equivalency),2183,43953
2004,65 years and over,Male,High School Graduate (includes equivalency),425,40176
2004,18 to 24 years,Female,High School Graduate (includes equivalency),1111,19203
2004,25 to 34 years,Female,High School Graduate (includes equivalency),2173,27706
2004,35 to 44 years,Female,High School Graduate (includes equivalency),3328,28479
2004,45 to 54 years,Female,High School Graduate (includes equivalency),3578,30362
2004,55 to 64 years,Female,High School Graduate (includes equivalency),1925,30690
2004,65 years and over,Female,High School Graduate (includes equivalency),390,33844
2004,18 to 24 years,Male,Associate Degree,306,27632
2004,25 to 34 years,Male,Associate Degree,1257,41909
2004,35 to 44 years,Male,Associate Degree,1535,51345
2004,45 to 54 years,Male,Associate Degree,1384,53230
2004,55 to 64 years,Male,Associate Degree,652,55348
2004,65 years and over,Male,Associate Degree,78,52935
2004,18 to 24 years,Female,Associate Degree,288,24279
2004,25 to 34 years,Female,Associate Degree,962,31594
2004,35 to 44 years,Female,Associate Degree,1338,37593
2004,45 to 54 years,Female,Associate Degree,1420,40668
2004,55 to 64 years,Female,Associate Degree,694,37740
2004,65 years and over,Female,Associate Degree,78,35891
2004,18 to 24 years,Male,Bachelor's Degree,396,34010
